admit,gre,gpa,rank
0.00,380.00,3.61,3.00
1.00,660.00,3.67,3.00
1.00,800.00,4.00,1.00
1.00,640.00,3.19,4.00
0.00,520.00,2.93,4.00
1.00,760.00,3.00,2.00
1.00,560.00,2.98,1.00
0.00,400.00,3.08,2.00
1.00,540.00,3.39,3.00
0.00,700.00,3.92,2.00
0.00,800.00,4.00,4.00
0.00,440.00,3.22,1.00
1.00,760.00,4.00,1.00
0.00,700.00,3.08,2.00
1.00,700.00,4.00,1.00
0.00,480.00,3.44,3.00
0.00,780.00,3.87,4.00
0.00,360.00,2.56,3.00
0.00,800.00,3.75,2.00
1.00,540.00,3.81,1.00
0.00,500.00,3.17,3.00
1.00,660.00,3.63,2.00
0.00,600.00,2.82,4.00
0.00,680.00,3.19,4.00
1.00,760.00,3.35,2.00
1.00,800.00,3.66,1.00
1.00,620.00,3.61,1.00
1.00,520.00,3.74,4.00
1.00,780.00,3.22,2.00
0.00,520.00,3.29,1.00
0.00,540.00,3.78,4.00
0.00,760.00,3.35,3.00
0.00,600.00,3.40,3.00
1.00,800.00,4.00,3.00
0.00,360.00,3.14,1.00
0.00,400.00,3.05,2.00
0.00,580.00,3.25,1.00
0.00,520.00,2.90,3.00
1.00,500.00,3.13,2.00
1.00,520.00,2.68,3.00
0.00,560.00,2.42,2.00
1.00,580.00,3.32,2.00
1.00,600.00,3.15,2.00
0.00,500.00,3.31,3.00
0.00,700.00,2.94,2.00
1.00,460.00,3.45,3.00
1.00,580.00,3.46,2.00
0.00,500.00,2.97,4.00
0.00,440.00,2.48,4.00
0.00,400.00,3.35,3.00
0.00,640.00,3.86,3.00
0.00,440.00,3.13,4.00
0.00,740.00,3.37,4.00
1.00,680.00,3.27,2.00
0.00,660.00,3.34,3.00
1.00,740.00,4.00,3.00
0.00,560.00,3.19,3.00
0.00,380.00,2.94,3.00
0.00,400.00,3.65,2.00
0.00,600.00,2.82,4.00
1.00,620.00,3.18,2.00
0.00,560.00,3.32,4.00
0.00,640.00,3.67,3.00
1.00,680.00,3.85,3.00
0.00,580.00,4.00,3.00
0.00,600.00,3.59,2.00
0.00,740.00,3.62,4.00
0.00,620.00,3.30,1.00
0.00,580.00,3.69,1.00
0.00,800.00,3.73,1.00
0.00,640.00,4.00,3.00
0.00,300.00,2.92,4.00
0.00,480.00,3.39,4.00
0.00,580.00,4.00,2.00
0.00,720.00,3.45,4.00
0.00,720.00,4.00,3.00
0.00,560.00,3.36,3.00
1.00,800.00,4.00,3.00
0.00,540.00,3.12,1.00
1.00,620.00,4.00,1.00
0.00,700.00,2.90,4.00
0.00,620.00,3.07,2.00
0.00,500.00,2.71,2.00
0.00,380.00,2.91,4.00
1.00,500.00,3.60,3.00
0.00,520.00,2.98,2.00
0.00,600.00,3.32,2.00
0.00,600.00,3.48,2.00
0.00,700.00,3.28,1.00
1.00,660.00,4.00,2.00
0.00,700.00,3.83,2.00
1.00,720.00,3.64,1.00
0.00,800.00,3.90,2.00
0.00,580.00,2.93,2.00
1.00,660.00,3.44,2.00
0.00,660.00,3.33,2.00
0.00,640.00,3.52,4.00
0.00,480.00,3.57,2.00
0.00,700.00,2.88,2.00
0.00,400.00,3.31,3.00
0.00,340.00,3.15,3.00
0.00,580.00,3.57,3.00
0.00,380.00,3.33,4.00
0.00,540.00,3.94,3.00
1.00,660.00,3.95,2.00
1.00,740.00,2.97,2.00
1.00,700.00,3.56,1.00
0.00,480.00,3.13,2.00
0.00,400.00,2.93,3.00
0.00,480.00,3.45,2.00
0.00,680.00,3.08,4.00
0.00,420.00,3.41,4.00
0.00,360.00,3.00,3.00
0.00,600.00,3.22,1.00
0.00,720.00,3.84,3.00
0.00,620.00,3.99,3.00
1.00,440.00,3.45,2.00
0.00,700.00,3.72,2.00
1.00,800.00,3.70,1.00
0.00,340.00,2.92,3.00
1.00,520.00,3.74,2.00
1.00,480.00,2.67,2.00
0.00,520.00,2.85,3.00
0.00,500.00,2.98,3.00
0.00,720.00,3.88,3.00
0.00,540.00,3.38,4.00
1.00,600.00,3.54,1.00
0.00,740.00,3.74,4.00
0.00,540.00,3.19,2.00
0.00,460.00,3.15,4.00
1.00,620.00,3.17,2.00
0.00,640.00,2.79,2.00
0.00,580.00,3.40,2.00
0.00,500.00,3.08,3.00
0.00,560.00,2.95,2.00
0.00,500.00,3.57,3.00
0.00,560.00,3.33,4.00
0.00,700.00,4.00,3.00
0.00,620.00,3.40,2.00
1.00,600.00,3.58,1.00
0.00,640.00,3.93,2.00
1.00,700.00,3.52,4.00
0.00,620.00,3.94,4.00
0.00,580.00,3.40,3.00
0.00,580.00,3.40,4.00
0.00,380.00,3.43,3.00
0.00,480.00,3.40,2.00
0.00,560.00,2.71,3.00
1.00,480.00,2.91,1.00
0.00,740.00,3.31,1.00
1.00,800.00,3.74,1.00
0.00,400.00,3.38,2.00
1.00,640.00,3.94,2.00
0.00,580.00,3.46,3.00
0.00,620.00,3.69,3.00
1.00,580.00,2.86,4.00
0.00,560.00,2.52,2.00
1.00,480.00,3.58,1.00
0.00,660.00,3.49,2.00
0.00,700.00,3.82,3.00
0.00,600.00,3.13,2.00
0.00,640.00,3.50,2.00
1.00,700.00,3.56,2.00
0.00,520.00,2.73,2.00
0.00,580.00,3.30,2.00
0.00,700.00,4.00,1.00
0.00,440.00,3.24,4.00
0.00,720.00,3.77,3.00
0.00,500.00,4.00,3.00
0.00,600.00,3.62,3.00
0.00,400.00,3.51,3.00
0.00,540.00,2.81,3.00
0.00,680.00,3.48,3.00
1.00,800.00,3.43,2.00
0.00,500.00,3.53,4.00
1.00,620.00,3.37,2.00
0.00,520.00,2.62,2.00
1.00,620.00,3.23,3.00
0.00,620.00,3.33,3.00
0.00,300.00,3.01,3.00
0.00,620.00,3.78,3.00
0.00,500.00,3.88,4.00
0.00,700.00,4.00,2.00
1.00,540.00,3.84,2.00
0.00,500.00,2.79,4.00
0.00,800.00,3.60,2.00
0.00,560.00,3.61,3.00
0.00,580.00,2.88,2.00
0.00,560.00,3.07,2.00
0.00,500.00,3.35,2.00
1.00,640.00,2.94,2.00
0.00,800.00,3.54,3.00
0.00,640.00,3.76,3.00
0.00,380.00,3.59,4.00
1.00,600.00,3.47,2.00
0.00,560.00,3.59,2.00
0.00,660.00,3.07,3.00
1.00,400.00,3.23,4.00
0.00,600.00,3.63,3.00
0.00,580.00,3.77,4.00
0.00,800.00,3.31,3.00
1.00,580.00,3.20,2.00
1.00,700.00,4.00,1.00
0.00,420.00,3.92,4.00
1.00,600.00,3.89,1.00
1.00,780.00,3.80,3.00
0.00,740.00,3.54,1.00
1.00,640.00,3.63,1.00
0.00,540.00,3.16,3.00
0.00,580.00,3.50,2.00
0.00,740.00,3.34,4.00
0.00,580.00,3.02,2.00
0.00,460.00,2.87,2.00
0.00,640.00,3.38,3.00
1.00,600.00,3.56,2.00
1.00,660.00,2.91,3.00
0.00,340.00,2.90,1.00
1.00,460.00,3.64,1.00
0.00,460.00,2.98,1.00
1.00,560.00,3.59,2.00
0.00,540.00,3.28,3.00
0.00,680.00,3.99,3.00
1.00,480.00,3.02,1.00
0.00,800.00,3.47,3.00
0.00,800.00,2.90,2.00
1.00,720.00,3.50,3.00
0.00,620.00,3.58,2.00
0.00,540.00,3.02,4.00
0.00,480.00,3.43,2.00
1.00,720.00,3.42,2.00
0.00,580.00,3.29,4.00
0.00,600.00,3.28,3.00
0.00,380.00,3.38,2.00
0.00,420.00,2.67,3.00
1.00,800.00,3.53,1.00
0.00,620.00,3.05,2.00
1.00,660.00,3.49,2.00
0.00,480.00,4.00,2.00
0.00,500.00,2.86,4.00
0.00,700.00,3.45,3.00
0.00,440.00,2.76,2.00
1.00,520.00,3.81,1.00
1.00,680.00,2.96,3.00
0.00,620.00,3.22,2.00
0.00,540.00,3.04,1.00
0.00,800.00,3.91,3.00
0.00,680.00,3.34,2.00
0.00,440.00,3.17,2.00
0.00,680.00,3.64,3.00
0.00,640.00,3.73,3.00
0.00,660.00,3.31,4.00
0.00,620.00,3.21,4.00
1.00,520.00,4.00,2.00
1.00,540.00,3.55,4.00
1.00,740.00,3.52,4.00
0.00,640.00,3.35,3.00
1.00,520.00,3.30,2.00
1.00,620.00,3.95,3.00
0.00,520.00,3.51,2.00
0.00,640.00,3.81,2.00
0.00,680.00,3.11,2.00
0.00,440.00,3.15,2.00
1.00,520.00,3.19,3.00
1.00,620.00,3.95,3.00
1.00,520.00,3.90,3.00
0.00,380.00,3.34,3.00
0.00,560.00,3.24,4.00
1.00,600.00,3.64,3.00
1.00,680.00,3.46,2.00
0.00,500.00,2.81,3.00
1.00,640.00,3.95,2.00
0.00,540.00,3.33,3.00
1.00,680.00,3.67,2.00
0.00,660.00,3.32,1.00
0.00,520.00,3.12,2.00
1.00,600.00,2.98,2.00
0.00,460.00,3.77,3.00
1.00,580.00,3.58,1.00
1.00,680.00,3.00,4.00
1.00,660.00,3.14,2.00
0.00,660.00,3.94,2.00
0.00,360.00,3.27,3.00
0.00,660.00,3.45,4.00
0.00,520.00,3.10,4.00
1.00,440.00,3.39,2.00
0.00,600.00,3.31,4.00
1.00,800.00,3.22,1.00
1.00,660.00,3.70,4.00
0.00,800.00,3.15,4.00
0.00,420.00,2.26,4.00
1.00,620.00,3.45,2.00
0.00,800.00,2.78,2.00
0.00,680.00,3.70,2.00
0.00,800.00,3.97,1.00
0.00,480.00,2.55,1.00
0.00,520.00,3.25,3.00
0.00,560.00,3.16,1.00
0.00,460.00,3.07,2.00
0.00,540.00,3.50,2.00
0.00,720.00,3.40,3.00
0.00,640.00,3.30,2.00
1.00,660.00,3.60,3.00
1.00,400.00,3.15,2.00
1.00,680.00,3.98,2.00
0.00,220.00,2.83,3.00
0.00,580.00,3.46,4.00
1.00,540.00,3.17,1.00
0.00,580.00,3.51,2.00
0.00,540.00,3.13,2.00
0.00,440.00,2.98,3.00
0.00,560.00,4.00,3.00
0.00,660.00,3.67,2.00
0.00,660.00,3.77,3.00
1.00,520.00,3.65,4.00
0.00,540.00,3.46,4.00
1.00,300.00,2.84,2.00
1.00,340.00,3.00,2.00
1.00,780.00,3.63,4.00
1.00,480.00,3.71,4.00
0.00,540.00,3.28,1.00
0.00,460.00,3.14,3.00
0.00,460.00,3.58,2.00
0.00,500.00,3.01,4.00
0.00,420.00,2.69,2.00
0.00,520.00,2.70,3.00
0.00,680.00,3.90,1.00
0.00,680.00,3.31,2.00
1.00,560.00,3.48,2.00
0.00,580.00,3.34,2.00
0.00,500.00,2.93,4.00
0.00,740.00,4.00,3.00
0.00,660.00,3.59,3.00
0.00,420.00,2.96,1.00
0.00,560.00,3.43,3.00
1.00,460.00,3.64,3.00
1.00,620.00,3.71,1.00
0.00,520.00,3.15,3.00
0.00,620.00,3.09,4.00
0.00,540.00,3.20,1.00
1.00,660.00,3.47,3.00
0.00,500.00,3.23,4.00
1.00,560.00,2.65,3.00
0.00,500.00,3.95,4.00
0.00,580.00,3.06,2.00
0.00,520.00,3.35,3.00
0.00,500.00,3.03,3.00
0.00,600.00,3.35,2.00
0.00,580.00,3.80,2.00
0.00,400.00,3.36,2.00
0.00,620.00,2.85,2.00
1.00,780.00,4.00,2.00
0.00,620.00,3.43,3.00
1.00,580.00,3.12,3.00
0.00,700.00,3.52,2.00
1.00,540.00,3.78,2.00
1.00,760.00,2.81,1.00
0.00,700.00,3.27,2.00
0.00,720.00,3.31,1.00
1.00,560.00,3.69,3.00
0.00,720.00,3.94,3.00
1.00,520.00,4.00,1.00
1.00,540.00,3.49,1.00
0.00,680.00,3.14,2.00
0.00,460.00,3.44,2.00
1.00,560.00,3.36,1.00
0.00,480.00,2.78,3.00
0.00,460.00,2.93,3.00
0.00,620.00,3.63,3.00
0.00,580.00,4.00,1.00
0.00,800.00,3.89,2.00
1.00,540.00,3.77,2.00
1.00,680.00,3.76,3.00
1.00,680.00,2.42,1.00
1.00,620.00,3.37,1.00
0.00,560.00,3.78,2.00
0.00,560.00,3.49,4.00
0.00,620.00,3.63,2.00
1.00,800.00,4.00,2.00
0.00,640.00,3.12,3.00
0.00,540.00,2.70,2.00
0.00,700.00,3.65,2.00
1.00,540.00,3.49,2.00
0.00,540.00,3.51,2.00
0.00,660.00,4.00,1.00
1.00,480.00,2.62,2.00
0.00,420.00,3.02,1.00
1.00,740.00,3.86,2.00
0.00,580.00,3.36,2.00
0.00,640.00,3.17,2.00
0.00,640.00,3.51,2.00
1.00,800.00,3.05,2.00
1.00,660.00,3.88,2.00
1.00,600.00,3.38,3.00
1.00,620.00,3.75,2.00
1.00,460.00,3.99,3.00
0.00,620.00,4.00,2.00
0.00,560.00,3.04,3.00
0.00,460.00,2.63,2.00
0.00,700.00,3.65,2.00
0.00,600.00,3.89,3.00
